UKPRN,Provider name,Subject code,Subject,Question,Responses,Population,Option 1,Option 2,Option 3,Option 4,Positivity,Response Rate,Question Num,index1,Region
UK,UK,CAH01-01-01,Medical sciences (non-specific), How well have teaching staff supported your learning?,226.8,296.1,60.3,124.32,36.33,5.83,81.4,76.6,Q16,16,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How well organised is your course?,226.8,296.1,27.83,118.98,61.65,18.32,64.7,76.6,Q17,17,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How well were any changes to teaching on your course communicated?,222.8,296.1,40.32,118.64,51.49,12.33,71.4,76.6,Q18,18,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How well have the IT resources and facilities supported your learning?,216.1,296.1,69.31,118.65,21.66,6.5,87.0,76.6,Q19,19,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific)," How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",220.3,296.1,96.64,97.64,22.0,4.0,88.2,76.6,Q20,20,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific)," How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",224.3,296.1,68.64,113.48,40.16,2.0,81.2,76.6,Q21,21,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), To what extent do you get the right opportunities to give feedback on your course?,226.8,296.1,79.8,108.98,32.5,5.5,83.2,76.6,Q22,22,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), To what extent are students' opinions about the course valued by staff?,226.8,296.1,52.49,99.8,55.99,18.5,67.2,76.6,Q23,23,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How clear is it that students' feedback on the course is acted on?,226.8,296.1,28.16,89.13,82.99,26.5,51.7,76.6,Q24,24,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How well does the students' union (association or guild) represent students' academic interests?,203.5,296.1,44.65,108.97,37.33,12.5,75.5,76.6,Q25,25,UK
UK,UK,CAH01-01-01,Medical sciences (non-specific), How well communicated was information about your university/college's mental wellbeing support services?,217.5,296.1,65.48,97.98,43.99,10.0,75.2,76.6,Q26,26,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How good are teaching staff at explaining things?,6399.9,8411.8,1742.6,3917.6,586.8,152.9,88.4,76.3,Q01,27,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How often do teaching staff make the subject engaging?,6395.9,8411.8,1252.7,3937.6,1019.6,186.0,81.2,76.3,Q02,28,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How often is the course intellectually stimulating?,6413.9,8411.8,3582.0,2325.2,387.7,119.0,92.1,76.3,Q03,29,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How often does your course challenge you to achieve your best work?,6395.9,8411.8,2569.6,2548.8,976.7,300.8,80.0,76.3,Q04,30,UK
UK,UK,CAH01-01-02,Medicine (non-specific), To what extent have you had the chance to explore ideas and concepts in depth?,6384.9,8411.8,2221.3,2751.1,1208.6,203.9,77.9,76.3,Q05,31,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How well does your course introduce subjects and skills in a way that builds on what you have already learned?,6409.9,8411.8,2751.3,2648.1,799.6,210.9,84.2,76.3,Q06,32,UK
UK,UK,CAH01-01-02,Medicine (non-specific), To what extent have you had the chance to bring together information and ideas from different topics?,6366.0,8411.8,3121.4,2399.1,714.5,131.0,86.7,76.3,Q07,33,UK
UK,UK,CAH01-01-02,Medicine (non-specific), To what extent does your course have the right balance of directed and independent study?,6408.9,8411.8,1964.7,2205.3,1459.0,779.9,65.1,76.3,Q08,34,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How well has your course developed your knowledge and skills that you think you will need for your future?,6415.0,8411.8,3070.1,2671.2,542.7,131.0,89.5,76.3,Q09,35,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How clear were the marking criteria used to assess your work?,6384.9,8411.8,1505.7,2607.9,1552.4,718.9,64.4,76.3,Q10,36,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How fair has the marking and assessment been on your course?,6399.9,8411.8,1299.8,3367.8,1226.4,505.9,72.9,76.3,Q11,37,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How well have assessments allowed you to demonstrate what you have learned?,6408.9,8411.8,1261.8,3279.8,1452.5,414.8,70.9,76.3,Q12,38,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How often have you received assessment feedback on time?,6399.9,8411.8,1875.7,2679.0,1169.4,675.8,71.2,76.3,Q13,39,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How often does feedback help you to improve your work?,6391.9,8411.8,1097.8,2519.9,1907.2,867.0,56.6,76.3,Q14,40,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How easy was it to contact teaching staff when you needed to?,6300.9,8411.8,2144.6,2948.7,914.7,292.9,80.8,76.3,Q15,41,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How well have teaching staff supported your learning?,6361.9,8411.8,1626.6,3389.0,1024.3,322.0,78.8,76.3,Q16,42,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How well organised is your course?,6417.9,8411.8,842.9,2601.1,1955.3,1018.6,53.7,76.3,Q17,43,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How well were any changes to teaching on your course communicated?,6369.9,8411.8,1058.9,2587.0,1945.4,778.6,57.2,76.3,Q18,44,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How well have the IT resources and facilities supported your learning?,6255.9,8411.8,1775.6,3222.8,917.7,339.8,79.9,76.3,Q19,45,UK
UK,UK,CAH01-01-02,Medicine (non-specific)," How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",6145.9,8411.8,2613.3,2794.0,553.6,185.0,88.0,76.3,Q20,46,UK
UK,UK,CAH01-01-02,Medicine (non-specific)," How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",6210.1,8411.8,1980.7,3168.6,855.8,205.0,82.9,76.3,Q21,47,UK
UK,UK,CAH01-01-02,Medicine (non-specific), To what extent do you get the right opportunities to give feedback on your course?,6379.9,8411.8,3028.5,2292.9,809.7,248.8,83.4,76.3,Q22,48,UK
UK,UK,CAH01-01-02,Medicine (non-specific), To what extent are students' opinions about the course valued by staff?,6351.9,8411.8,1410.8,2454.0,1570.4,916.7,60.8,76.3,Q23,49,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How clear is it that students' feedback on the course is acted on?,6355.9,8411.8,1071.9,2212.4,2119.9,951.7,51.7,76.3,Q24,50,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How well does the students' union (association or guild) represent students' academic interests?,5563.1,8411.8,1207.8,2606.7,1149.7,598.9,68.6,76.3,Q25,51,UK
UK,UK,CAH01-01-02,Medicine (non-specific), How well communicated was information about your university/college's mental wellbeing support services?,6276.9,8411.8,2166.2,2766.1,952.7,391.9,78.6,76.3,Q26,52,UK
UK,UK,CAH01-01-03,Medicine by specialism, How good are teaching staff at explaining things?,101.0,123.5,23.0,68.0,9.5,0.5,90.1,81.8,Q01,53,UK
UK,UK,CAH01-01-03,Medicine by specialism, How often do teaching staff make the subject engaging?,101.0,123.5,17.0,61.0,21.0,2.0,77.2,81.8,Q02,54,UK
UK,UK,CAH01-01-03,Medicine by specialism, How often is the course intellectually stimulating?,101.0,123.5,38.0,50.5,11.0,1.5,87.6,81.8,Q03,55,UK
UK,UK,CAH01-01-03,Medicine by specialism, How often does your course challenge you to achieve your best work?,101.0,123.5,35.0,48.0,15.0,3.0,82.2,81.8,Q04,56,UK
UK,UK,CAH01-01-03,Medicine by specialism, To what extent have you had the chance to explore ideas and concepts in depth?,101.0,123.5,27.5,59.0,13.0,1.5,85.6,81.8,Q05,57,UK
UK,UK,CAH01-01-03,Medicine by specialism, How well does your course introduce subjects and skills in a way that builds on what you have already learned?,101.0,123.5,32.0,49.0,18.5,1.5,80.2,81.8,Q06,58,UK
UK,UK,CAH01-01-03,Medicine by specialism, To what extent have you had the chance to bring together information and ideas from different topics?,101.0,123.5,30.5,49.5,21.0,0.0,79.2,81.8,Q07,59,UK
UK,UK,CAH01-01-03,Medicine by specialism, To what extent does your course have the right balance of directed and independent study?,101.0,123.5,32.0,39.5,22.0,7.5,70.8,81.8,Q08,60,UK
UK,UK,CAH01-01-03,Medicine by specialism, How well has your course developed your knowledge and skills that you think you will need for your future?,101.0,123.5,44.0,48.0,8.5,0.5,91.1,81.8,Q09,61,UK
UK,UK,CAH01-01-03,Medicine by specialism, How clear were the marking criteria used to assess your work?,101.0,123.5,23.0,38.5,25.5,14.0,60.9,81.8,Q10,62,UK
UK,UK,CAH01-01-03,Medicine by specialism, How fair has the marking and assessment been on your course?,101.0,123.5,23.5,42.5,28.0,7.0,65.3,81.8,Q11,63,UK
UK,UK,CAH01-01-03,Medicine by specialism, How well have assessments allowed you to demonstrate what you have learned?,101.0,123.5,19.5,49.5,29.0,3.0,68.3,81.8,Q12,64,UK
UK,UK,CAH01-01-03,Medicine by specialism, How often have you received assessment feedback on time?,101.0,123.5,36.5,36.0,17.0,11.5,71.8,81.8,Q13,65,UK
UK,UK,CAH01-01-03,Medicine by specialism, How often does feedback help you to improve your work?,101.0,123.5,21.0,38.5,22.0,19.5,58.9,81.8,Q14,66,UK
UK,UK,CAH01-01-03,Medicine by specialism, How easy was it to contact teaching staff when you needed to?,101.0,123.5,47.5,38.0,12.0,3.5,84.7,81.8,Q15,67,UK
UK,UK,CAH01-01-03,Medicine by specialism, How well have teaching staff supported your learning?,101.0,123.5,37.0,49.0,12.5,2.5,85.1,81.8,Q16,68,UK
UK,UK,CAH01-01-03,Medicine by specialism, How well organised is your course?,101.0,123.5,14.0,41.0,28.0,18.0,54.5,81.8,Q17,69,UK
UK,UK,CAH01-01-03,Medicine by specialism, How well were any changes to teaching on your course communicated?,99.0,123.5,16.5,49.5,22.5,10.5,66.7,81.8,Q18,70,UK
UK,UK,CAH01-01-03,Medicine by specialism, How well have the IT resources and facilities supported your learning?,93.5,123.5,26.5,52.0,12.0,3.0,84.0,81.8,Q19,71,UK
UK,UK,CAH01-01-03,Medicine by specialism," How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",100.0,123.5,42.0,49.0,7.0,2.0,91.0,81.8,Q20,72,UK
UK,UK,CAH01-01-03,Medicine by specialism," How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",99.5,123.5,32.5,48.5,16.5,2.0,81.4,81.8,Q21,73,UK
UK,UK,CAH01-01-03,Medicine by specialism, To what extent do you get the right opportunities to give feedback on your course?,100.5,123.5,46.5,39.5,12.5,2.0,85.6,81.8,Q22,74,UK
UK,UK,CAH01-01-03,Medicine by specialism, To what extent are students' opinions about the course valued by staff?,100.0,123.5,21.0,44.0,20.0,15.0,65.0,81.8,Q23,75,UK
UK,UK,CAH01-01-03,Medicine by specialism, How clear is it that students' feedback on the course is acted on?,100.5,123.5,14.0,32.0,41.5,13.0,45.8,81.8,Q24,76,UK
UK,UK,CAH01-01-03,Medicine by specialism, How well does the students' union (association or guild) represent students' academic interests?,78.0,123.5,11.0,45.0,19.0,3.0,71.8,81.8,Q25,77,UK
UK,UK,CAH01-01-03,Medicine by specialism, How well communicated was information about your university/college's mental wellbeing support services?,97.0,123.5,33.0,44.0,15.5,4.5,79.4,81.8,Q26,78,UK
UK,UK,CAH01-01-04,Dentistry, How good are teaching staff at explaining things?,1115.0,1339.0,415.0,596.0,78.0,26.0,90.7,83.3,Q01,79,UK
UK,UK,CAH01-01-04,Dentistry, How often do teaching staff make the subject engaging?,1115.0,1339.0,316.0,585.0,175.0,39.0,80.8,83.3,Q02,80,UK
UK,UK,CAH01-01-04,Dentistry, How often is the course intellectually stimulating?,1114.0,1339.0,601.0,404.0,78.0,31.0,90.2,83.3,Q03,81,UK
UK,UK,CAH01-01-04,Dentistry, How often does your course challenge you to achieve your best work?,1110.0,1339.0,594.0,383.0,92.0,41.0,88.0,83.3,Q04,82,UK
UK,UK,CAH01-01-04,Dentistry, To what extent have you had the chance to explore ideas and concepts in depth?,1106.0,1339.0,404.0,473.0,188.0,41.0,79.3,83.3,Q05,83,UK
UK,UK,CAH01-01-04,Dentistry, How well does your course introduce subjects and skills in a way that builds on what you have already learned?,1112.0,1339.0,513.0,433.0,132.0,34.0,85.1,83.3,Q06,84,UK
UK,UK,CAH01-01-04,Dentistry, To what extent have you had the chance to bring together information and ideas from different topics?,1107.0,1339.0,540.0,405.0,136.0,26.0,85.4,83.3,Q07,85,UK
UK,UK,CAH01-01-04,Dentistry, To what extent does your course have the right balance of directed and independent study?,1113.0,1339.0,445.0,407.0,166.0,95.0,76.5,83.3,Q08,86,UK
UK,UK,CAH01-01-04,Dentistry, How well has your course developed your knowledge and skills that you think you will need for your future?,1113.0,1339.0,615.0,383.0,82.0,33.0,89.7,83.3,Q09,87,UK
UK,UK,CAH01-01-04,Dentistry, How clear were the marking criteria used to assess your work?,1113.0,1339.0,326.0,414.0,256.0,117.0,66.5,83.3,Q10,88,UK
UK,UK,CAH01-01-04,Dentistry, How fair has the marking and assessment been on your course?,1113.0,1339.0,286.0,591.0,166.0,70.0,78.8,83.3,Q11,89,UK
UK,UK,CAH01-01-04,Dentistry, How well have assessments allowed you to demonstrate what you have learned?,1115.0,1339.0,291.0,564.0,201.0,59.0,76.7,83.3,Q12,90,UK
UK,UK,CAH01-01-04,Dentistry, How often have you received assessment feedback on time?,1112.0,1339.0,396.0,429.0,186.0,101.0,74.2,83.3,Q13,91,UK
UK,UK,CAH01-01-04,Dentistry, How often does feedback help you to improve your work?,1111.0,1339.0,310.0,420.0,246.0,135.0,65.7,83.3,Q14,92,UK
UK,UK,CAH01-01-04,Dentistry, How easy was it to contact teaching staff when you needed to?,1110.0,1339.0,490.0,456.0,119.0,45.0,85.2,83.3,Q15,93,UK
UK,UK,CAH01-01-04,Dentistry, How well have teaching staff supported your learning?,1114.0,1339.0,446.0,508.0,105.0,55.0,85.6,83.3,Q16,94,UK
UK,UK,CAH01-01-04,Dentistry, How well organised is your course?,1114.0,1339.0,217.0,400.0,305.0,192.0,55.4,83.3,Q17,95,UK
UK,UK,CAH01-01-04,Dentistry, How well were any changes to teaching on your course communicated?,1112.0,1339.0,242.0,397.0,335.0,138.0,57.5,83.3,Q18,96,UK
UK,UK,CAH01-01-04,Dentistry, How well have the IT resources and facilities supported your learning?,1085.0,1339.0,382.0,527.0,131.0,45.0,83.8,83.3,Q19,97,UK
UK,UK,CAH01-01-04,Dentistry," How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",1075.0,1339.0,516.0,457.0,73.0,29.0,90.5,83.3,Q20,98,UK
UK,UK,CAH01-01-04,Dentistry," How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",1091.0,1339.0,409.0,510.0,141.0,31.0,84.2,83.3,Q21,99,UK
UK,UK,CAH01-01-04,Dentistry, To what extent do you get the right opportunities to give feedback on your course?,1111.0,1339.0,450.0,409.0,194.0,58.0,77.3,83.3,Q22,100,UK
UK,UK,CAH01-01-04,Dentistry, To what extent are students' opinions about the course valued by staff?,1111.0,1339.0,330.0,394.0,261.0,126.0,65.2,83.3,Q23,101,UK
UK,UK,CAH01-01-04,Dentistry, How clear is it that students' feedback on the course is acted on?,1110.0,1339.0,283.0,358.0,335.0,134.0,57.7,83.3,Q24,102,UK
UK,UK,CAH01-01-04,Dentistry, How well does the students' union (association or guild) represent students' academic interests?,915.0,1339.0,256.0,450.0,143.0,66.0,77.2,83.3,Q25,103,UK
UK,UK,CAH01-01-04,Dentistry, How well communicated was information about your university/college's mental wellbeing support services?,1088.0,1339.0,464.0,428.0,137.0,59.0,82.0,83.3,Q26,104,UK
UK,UK,CAH02-02-01,Pharmacology, How good are teaching staff at explaining things?,703.4,924.5,208.44,447.71,37.78,9.45,93.3,76.3,Q01,105,UK
UK,UK,CAH02-02-01,Pharmacology, How often do teaching staff make the subject engaging?,702.4,924.5,140.5,402.59,144.45,14.84,77.3,76.3,Q02,106,UK
UK,UK,CAH02-02-01,Pharmacology, How often is the course intellectually stimulating?,703.4,924.5,332.71,297.72,61.79,11.16,89.6,76.3,Q03,107,UK
UK,UK,CAH02-02-01,Pharmacology, How often does your course challenge you to achieve your best work?,703.3,924.5,320.08,295.8,68.39,18.99,87.6,76.3,Q04,108,UK
UK,UK,CAH02-02-01,Pharmacology, To what extent have you had the chance to explore ideas and concepts in depth?,703.4,924.5,276.53,333.71,78.32,14.82,86.8,76.3,Q05,109,UK
UK,UK,CAH02-02-01,Pharmacology, How well does your course introduce subjects and skills in a way that builds on what you have already learned?,703.4,924.5,255.16,361.98,70.42,15.82,87.7,76.3,Q06,110,UK
UK,UK,CAH02-02-01,Pharmacology, To what extent have you had the chance to bring together information and ideas from different topics?,703.4,924.5,273.07,332.14,85.73,12.44,86.0,76.3,Q07,111,UK
UK,UK,CAH02-02-01,Pharmacology, To what extent does your course have the right balance of directed and independent study?,704.4,924.5,279.6,277.03,121.15,26.6,79.0,76.3,Q08,112,UK
UK,UK,CAH02-02-01,Pharmacology, How well has your course developed your knowledge and skills that you think you will need for your future?,705.4,924.5,249.1,342.28,95.01,18.99,83.8,76.3,Q09,113,UK
UK,UK,CAH02-02-01,Pharmacology, How clear were the marking criteria used to assess your work?,704.9,924.5,186.09,317.11,158.74,42.94,71.4,76.3,Q10,114,UK
UK,UK,CAH02-02-01,Pharmacology, How fair has the marking and assessment been on your course?,703.4,924.5,132.8,409.85,130.78,29.95,77.1,76.3,Q11,115,UK
UK,UK,CAH02-02-01,Pharmacology, How well have assessments allowed you to demonstrate what you have learned?,703.4,924.5,152.12,399.53,129.07,22.66,78.4,76.3,Q12,116,UK
UK,UK,CAH02-02-01,Pharmacology, How often have you received assessment feedback on time?,704.4,924.5,192.91,296.37,148.01,67.09,69.5,76.3,Q13,117,UK
UK,UK,CAH02-02-01,Pharmacology, How often does feedback help you to improve your work?,702.4,924.5,167.9,307.32,166.43,60.73,67.7,76.3,Q14,118,UK
UK,UK,CAH02-02-01,Pharmacology, How easy was it to contact teaching staff when you needed to?,701.1,924.5,327.1,295.81,63.98,14.16,88.9,76.3,Q15,119,UK
UK,UK,CAH02-02-01,Pharmacology, How well have teaching staff supported your learning?,703.4,924.5,229.77,375.07,78.61,19.93,86.0,76.3,Q16,120,UK
UK,UK,CAH02-02-01,Pharmacology, How well organised is your course?,702.9,924.5,172.34,356.24,137.14,37.16,75.2,76.3,Q17,121,UK
UK,UK,CAH02-02-01,Pharmacology, How well were any changes to teaching on your course communicated?,694.2,924.5,202.23,329.06,133.64,29.27,76.5,76.3,Q18,122,UK
UK,UK,CAH02-02-01,Pharmacology, How well have the IT resources and facilities supported your learning?,675.8,924.5,230.98,357.64,66.81,20.33,87.1,76.3,Q19,123,UK
UK,UK,CAH02-02-01,Pharmacology," How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",691.5,924.5,319.36,294.59,60.43,17.16,88.8,76.3,Q20,124,UK
UK,UK,CAH02-02-01,Pharmacology," How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",684.6,924.5,243.16,352.62,77.95,10.82,87.0,76.3,Q21,125,UK
UK,UK,CAH02-02-01,Pharmacology, To what extent do you get the right opportunities to give feedback on your course?,702.6,924.5,291.25,319.45,76.42,15.43,86.9,76.3,Q22,126,UK
UK,UK,CAH02-02-01,Pharmacology, To what extent are students' opinions about the course valued by staff?,694.7,924.5,212.2,309.71,134.88,37.92,75.1,76.3,Q23,127,UK
UK,UK,CAH02-02-01,Pharmacology, How clear is it that students' feedback on the course is acted on?,698.2,924.5,152.83,292.81,200.21,52.37,63.8,76.3,Q24,128,UK
UK,UK,CAH02-02-01,Pharmacology, How well does the students' union (association or guild) represent students' academic interests?,633.9,924.5,133.77,350.63,113.91,35.59,76.4,76.3,Q25,129,UK
UK,UK,CAH02-02-01,Pharmacology, How well communicated was information about your university/college's mental wellbeing support services?,677.1,924.5,231.88,308.37,101.88,34.94,79.8,76.3,Q26,130,UK
UK,UK,CAH02-02-02,Toxicology, How good are teaching staff at explaining things?,12.2,14.2,3.96,5.28,2.65,0.33,75.6,86.1,Q01,131,UK
UK,UK,CAH02-02-02,Toxicology, How often do teaching staff make the subject engaging?,12.2,14.2,2.31,4.95,3.64,1.32,59.4,86.1,Q02,132,UK
UK,UK,CAH02-02-02,Toxicology, How often is the course intellectually stimulating?,12.2,14.2,3.3,5.62,2.97,0.33,73.0,86.1,Q03,133,UK
UK,UK,CAH02-02-02,Toxicology, How often does your course challenge you to achieve your best work?,12.2,14.2,4.29,4.29,3.31,0.33,70.2,86.1,Q04,134,UK
UK,UK,CAH02-02-02,Toxicology, To what extent have you had the chance to explore ideas and concepts in depth?,12.2,14.2,3.63,6.28,1.98,0.33,81.1,86.1,Q05,135,UK
UK,UK,CAH02-02-02,Toxicology, How well does your course introduce subjects and skills in a way that builds on what you have already learned?,12.2,14.2,5.61,5.29,0.99,0.33,89.2,86.1,Q06,136,UK
UK,UK,CAH02-02-02,Toxicology, To what extent have you had the chance to bring together information and ideas from different topics?,12.2,14.2,3.96,4.62,3.31,0.33,70.2,86.1,Q07,137,UK
UK,UK,CAH02-02-02,Toxicology, To what extent does your course have the right balance of directed and independent study?,12.2,14.2,3.96,5.62,1.98,0.66,78.4,86.1,Q08,138,UK
UK,UK,CAH02-02-02,Toxicology, How well has your course developed your knowledge and skills that you think you will need for your future?,12.2,14.2,5.94,3.96,1.99,0.33,81.0,86.1,Q09,139,UK
UK,UK,CAH02-02-02,Toxicology, How clear were the marking criteria used to assess your work?,12.2,14.2,3.63,4.29,3.97,0.33,64.8,86.1,Q10,140,UK
UK,UK,CAH02-02-02,Toxicology, How fair has the marking and assessment been on your course?,12.2,14.2,3.97,5.28,2.31,0.66,75.7,86.1,Q11,141,UK
UK,UK,CAH02-02-02,Toxicology, How well have assessments allowed you to demonstrate what you have learned?,12.2,14.2,4.95,3.97,2.97,0.33,73.0,86.1,Q12,142,UK
UK,UK,CAH02-02-02,Toxicology, How often have you received assessment feedback on time?,11.9,14.2,4.96,2.64,2.97,1.32,63.9,86.1,Q13,143,UK
UK,UK,CAH02-02-02,Toxicology, How often does feedback help you to improve your work?,12.2,14.2,4.62,3.3,3.64,0.66,64.8,86.1,Q14,144,UK
UK,UK,CAH02-02-02,Toxicology, How easy was it to contact teaching staff when you needed to?,12.2,14.2,5.28,3.96,1.99,0.99,75.6,86.1,Q15,145,UK
UK,UK,CAH02-02-02,Toxicology, How well have teaching staff supported your learning?,12.2,14.2,6.6,2.64,2.65,0.33,75.6,86.1,Q16,146,UK
UK,UK,CAH02-02-02,Toxicology, How well organised is your course?,12.2,14.2,3.3,5.94,1.99,0.99,75.6,86.1,Q17,147,UK
UK,UK,CAH02-02-02,Toxicology, How well were any changes to teaching on your course communicated?,11.6,14.2,3.96,4.3,2.97,0.33,71.5,86.1,Q18,148,UK
UK,UK,CAH02-02-02,Toxicology, How well have the IT resources and facilities supported your learning?,11.9,14.2,6.6,4.63,0.33,0.33,94.4,86.1,Q19,149,UK
UK,UK,CAH02-02-02,Toxicology," How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",11.9,14.2,5.94,5.62,0.0,0.33,97.2,86.1,Q20,150,UK
UK,UK,CAH02-02-02,Toxicology," How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",12.2,14.2,5.28,5.95,0.66,0.33,91.9,86.1,Q21,151,UK
UK,UK,CAH02-02-02,Toxicology, To what extent do you get the right opportunities to give feedback on your course?,11.9,14.2,4.62,3.96,2.98,0.33,72.2,86.1,Q22,152,UK
UK,UK,CAH02-02-02,Toxicology, To what extent are students' opinions about the course valued by staff?,10.9,14.2,4.29,3.64,1.98,0.99,72.8,86.1,Q23,153,UK
UK,UK,CAH02-02-02,Toxicology, How clear is it that students' feedback on the course is acted on?,11.6,14.2,2.64,4.29,2.64,1.99,59.9,86.1,Q24,154,UK
UK,UK,CAH02-02-02,Toxicology, How well does the students' union (association or guild) represent students' academic interests?,10.6,14.2,2.97,3.63,3.64,0.33,62.4,86.1,Q25,155,UK
UK,UK,CAH02-02-02,Toxicology, How well communicated was information about your university/college's mental wellbeing support services?,11.2,14.2,4.29,3.96,2.32,0.66,73.5,86.1,Q26,156,UK
UK,UK,CAH02-02-03,Pharmacy, How good are teaching staff at explaining things?,2391.0,3189.0,590.74,1567.23,195.69,37.35,90.3,75.2,Q01,157,UK
UK,UK,CAH02-02-03,Pharmacy, How often do teaching staff make the subject engaging?,2387.0,3189.0,497.03,1355.9,457.08,77.0,77.6,75.2,Q02,158,UK
UK,UK,CAH02-02-03,Pharmacy, How often is the course intellectually stimulating?,2395.0,3189.0,1018.42,1067.55,258.03,51.01,87.1,75.2,Q03,159,UK
UK,UK,CAH02-02-03,Pharmacy, How often does your course challenge you to achieve your best work?,2395.0,3189.0,1019.77,1041.17,276.72,57.35,86.1,75.2,Q04,160,UK
UK,UK,CAH02-02-03,Pharmacy, To what extent have you had the chance to explore ideas and concepts in depth?,2385.0,3189.0,796.09,1138.84,396.39,53.69,81.1,75.2,Q05,161,UK
