Provider,Level,Subject,Code,Predicted_28_Positivity,Predicted_28_Options,Prediction_Diff
England,All undergraduates,Polymers and textiles,CAH10-03-03,93.6,88.9,-4.7
England,All undergraduates,Maritime technology,CAH10-03-04,74.5,64.4,-10.1
England,All undergraduates,Others in technology,CAH10-03-06,83.3,72.4,-10.9
England,All undergraduates,Materials science,CAH10-03-07,84.2,79.5,-4.7
England,All undergraduates,Computer science,CAH11-01-01,76.6,68.2,-8.4
England,All undergraduates,Information systems,CAH11-01-03,82.5,74.1,-8.4
England,All undergraduates,Software engineering,CAH11-01-04,77,68.7,-8.3
England,All undergraduates,Artificial intelligence,CAH11-01-05,80.1,76.5,-3.6
England,All undergraduates,Computer games and animation,CAH11-01-06,80.5,70,-10.5
England,All undergraduates,Business computing,CAH11-01-07,84.4,77.8,-6.6
England,All undergraduates,Others in computing,CAH11-01-08,76.7,66.1,-10.6
England,All undergraduates,Architecture,CAH13-01-01,81.5,76.4,-5.1
England,All undergraduates,Building,CAH13-01-02,78,67.2,-10.8
England,All undergraduates,Landscape design,CAH13-01-03,89.7,82.5,-7.2
England,All undergraduates,"Planning (urban, rural and regional)",CAH13-01-04,78.7,71.3,-7.4
England,All undergraduates,Social sciences (non-specific),CAH15-01-01,85.1,79.2,-5.9
England,All undergraduates,Sociology,CAH15-01-02,77.6,70.3,-7.3
England,All undergraduates,Social policy,CAH15-01-03,79.2,70.8,-8.4
England,All undergraduates,Anthropology,CAH15-01-04,80.7,74.6,-6.1
England,All undergraduates,Development studies,CAH15-01-05,80.4,75,-5.4
England,All undergraduates,Economics,CAH15-02-01,78.3,72.4,-5.9
England,All undergraduates,Politics,CAH15-03-01,79.8,73.8,-6
England,All undergraduates,Social work,CAH15-04-01,81,73,-8
England,All undergraduates,Childhood and youth studies,CAH15-04-02,86.9,81.8,-5.1
England,All undergraduates,Health studies,CAH15-04-03,87.3,80.4,-6.9
England,All undergraduates,Law,CAH16-01-01,78.7,71.1,-7.6
England,All undergraduates,Business and management (non-specific),CAH17-01-01,82.2,75.7,-6.5
England,All undergraduates,Business studies,CAH17-01-02,84.8,78.8,-6
England,All undergraduates,Marketing,CAH17-01-03,79.2,70.3,-8.9
England,All undergraduates,Management studies,CAH17-01-04,81.7,76.2,-5.5
England,All undergraduates,Human resource management,CAH17-01-05,81.9,75.2,-6.7
England,All undergraduates,"Tourism, transport and travel",CAH17-01-06,86,78.2,-7.8
England,All undergraduates,Finance,CAH17-01-07,84.1,79,-5.1
England,All undergraduates,Accounting,CAH17-01-08,83.7,78.4,-5.3
England,All undergraduates,Others in business and management,CAH17-01-09,89.1,84.8,-4.3
England,All undergraduates,English studies (non-specific),CAH19-01-01,81.7,74.1,-7.6
England,All undergraduates,English language,CAH19-01-02,85.6,80.9,-4.7
England,All undergraduates,Literature in English,CAH19-01-03,85.2,80.5,-4.7
England,All undergraduates,Creative writing,CAH19-01-05,85.9,78.9,-7
England,All undergraduates,Others in English studies,CAH19-01-06,83,71.8,-11.2
England,All undergraduates,Linguistics,CAH19-01-07,83,79.1,-3.9
England,All undergraduates,French studies,CAH19-04-01,83.8,78.4,-5.4
England,All undergraduates,German and Scandinavian studies,CAH19-04-02,82.6,75.5,-7.1
England,All undergraduates,Italian studies,CAH19-04-03,84.5,80.2,-4.3
England,All undergraduates,Iberian studies,CAH19-04-04,80.8,74.2,-6.6
England,All undergraduates,Slavic studies,CAH19-04-05,77,70.4,-6.6
England,All undergraduates,Asian studies,CAH19-04-06,73.2,63.7,-9.5
England,All undergraduates,African and modern Middle Eastern studies,CAH19-04-07,80.6,76,-4.6
England,All undergraduates,American and Australasian studies,CAH19-04-08,80.7,74.7,-6
England,All undergraduates,Others in language and area studies,CAH19-04-09,82.4,76.6,-5.8
England,All undergraduates,History,CAH20-01-01,84.3,77.9,-6.4
England,All undergraduates,"History of art, architecture and design",CAH20-01-02,80.1,72.2,-7.9
England,All undergraduates,Archaeology,CAH20-01-03,87.4,80.1,-7.3
England,All undergraduates,Heritage studies,CAH20-01-04,87.5,77.6,-9.9
England,All undergraduates,Classics,CAH20-01-05,85.5,80.6,-4.9
England,All undergraduates,Philosophy,CAH20-02-01,80.7,75.1,-5.6
England,All undergraduates,Theology and religious studies,CAH20-02-02,88.2,80,-8.2
England,All undergraduates,Education,CAH22-01-01,86.6,81,-5.6
England,All undergraduates,Teacher training,CAH22-01-02,77.8,68.9,-8.9
England,All undergraduates,Personal development,CAH23-01-02,80.6,71.3,-9.3
England,All undergraduates,Humanities (non-specific),CAH23-01-03,88.4,85.5,-2.9
England,All undergraduates,Liberal arts (non-specific),CAH23-01-04,79.6,77,-2.6
England,All undergraduates,Information services,CAH24-01-01,73,62.3,-10.7
England,All undergraduates,Publicity studies,CAH24-01-02,78.5,66.9,-11.6
England,All undergraduates,Publishing,CAH24-01-03,84.9,81.1,-3.8
England,All undergraduates,Journalism,CAH24-01-04,83.6,77.3,-6.3
England,All undergraduates,Media studies,CAH24-01-05,77,68.6,-8.4
England,All undergraduates,Creative arts and design (non-specific),CAH25-01-01,77.7,68.1,-9.6
England,All undergraduates,Art,CAH25-01-02,70.1,61,-9.1
England,All undergraduates,Design studies,CAH25-01-03,80.3,70.3,-10
England,All undergraduates,Cinematics and photography,CAH25-01-04,74.5,63.5,-11
England,All undergraduates,Others in creative arts and design,CAH25-01-05,80.1,70.3,-9.8
England,All undergraduates,Performing arts (non-specific),CAH25-02-01,78.7,67.2,-11.5
England,All undergraduates,Music,CAH25-02-02,79.3,68.6,-10.7
England,All undergraduates,Drama,CAH25-02-03,78.7,68.8,-9.9
England,All undergraduates,Dance,CAH25-02-04,83.8,77.4,-6.4
England,All undergraduates,Geography (non-specific),CAH26-01-01,81.2,75.1,-6.1
England,All undergraduates,Physical geographical sciences,CAH26-01-02,84.3,78.7,-5.6
England,All undergraduates,Human geography,CAH26-01-03,80.8,75,-5.8
England,All undergraduates,Environmental sciences,CAH26-01-04,84.1,80.2,-3.9
England,All undergraduates,Earth sciences,CAH26-01-06,83.3,77.6,-5.7
England,First degree,Medical sciences (non-specific),CAH01-01-01,75.9,73.2,-2.7
England,First degree,Medicine (non-specific),CAH01-01-02,75.8,66.4,-9.4
England,First degree,Medicine by specialism,CAH01-01-03,75.1,67,-8.1
England,First degree,Dentistry,CAH01-01-04,77.2,65.8,-11.4
England,First degree,Pharmacology,CAH02-02-01,83.6,78.5,-5.1
England,First degree,Pharmacy,CAH02-02-03,84.5,82.2,-2.3
England,First degree,Nursing (non-specific),CAH02-04-01,83.2,77.4,-5.8
England,First degree,Adult nursing,CAH02-04-02,69.9,59.3,-10.6
England,First degree,Midwifery,CAH02-04-04,73.7,64.6,-9.1
England,First degree,Children's nursing,CAH02-04-05,69.6,58.6,-11
England,First degree,Dental nursing,CAH02-04-06,60.9,46.4,-14.5
England,First degree,Mental health nursing,CAH02-04-07,74.9,65.2,-9.7
England,First degree,Learning disabilities nursing,CAH02-04-08,81.8,72.7,-9.1
England,First degree,Medical technology,CAH02-05-01,80.6,72.7,-7.9
England,First degree,Healthcare science (non-specific),CAH02-05-02,72.3,61.9,-10.4
England,First degree,Biomedical sciences (non-specific),CAH02-05-03,76.9,69.4,-7.5
England,First degree,"Anatomy, physiology and pathology",CAH02-05-04,82.9,76.9,-6
England,First degree,Health sciences (non-specific),CAH02-06-01,74.9,64.2,-10.7
England,First degree,Nutrition and dietetics,CAH02-06-02,83.8,79,-4.8
England,First degree,Ophthalmics,CAH02-06-03,88.9,84.3,-4.6
England,First degree,Environmental and public health,CAH02-06-04,82.6,72.5,-10.1
England,First degree,Physiotherapy,CAH02-06-05,76.8,66.1,-10.7
England,First degree,Complementary and alternative medicine,CAH02-06-06,80.3,70.9,-9.4
England,First degree,"Counselling, psychotherapy and occupational therapy",CAH02-06-07,74.4,63,-11.4
England,First degree,Biosciences (non-specific),CAH03-01-01,83.7,78.8,-4.9
England,First degree,Biology (non-specific),CAH03-01-02,83.4,79.1,-4.3
England,First degree,Ecology and environmental biology,CAH03-01-03,82.4,78.4,-4
England,First degree,Microbiology and cell science,CAH03-01-04,83,77.5,-5.5
England,First degree,Plant sciences,CAH03-01-05,82.8,90.6,7.8
England,First degree,Zoology,CAH03-01-06,80.5,72.7,-7.8
England,First degree,Genetics,CAH03-01-07,82.4,79.4,-3
England,First degree,"Molecular biology, biophysics and biochemistry",CAH03-01-08,80.7,76,-4.7
England,First degree,Others in biosciences,CAH03-01-10,81.1,74.8,-6.3
England,First degree,Sport and exercise sciences,CAH03-02-01,86,80.3,-5.7
England,First degree,Psychology (non-specific),CAH04-01-01,80.1,72.9,-7.2
England,First degree,Applied psychology,CAH04-01-02,81.8,76.1,-5.7
England,First degree,Developmental psychology,CAH04-01-03,80,73.2,-6.8
England,First degree,Psychology and health,CAH04-01-04,78.6,70.7,-7.9
England,First degree,Others in psychology,CAH04-01-05,74,65,-9
England,First degree,Veterinary medicine and dentistry,CAH05-01-01,88.3,77.7,-10.6
England,First degree,Others in veterinary sciences,CAH05-01-02,85.7,77.2,-8.5
England,First degree,Animal science,CAH06-01-01,79.2,69.8,-9.4
England,First degree,Agriculture,CAH06-01-03,82,73.4,-8.6
England,First degree,Rural estate management,CAH06-01-04,78.1,66.3,-11.8
England,First degree,Food sciences,CAH06-01-07,86.4,82.6,-3.8
England,First degree,Food and beverage production,CAH06-01-08,82.9,76.6,-6.3
England,First degree,Physics,CAH07-01-01,80.4,75.2,-5.2
England,First degree,Astronomy,CAH07-01-02,80.6,70.5,-10.1
England,First degree,Chemistry,CAH07-02-01,80.7,73.8,-6.9
England,First degree,Forensic and archaeological sciences,CAH07-04-02,82.5,77.8,-4.7
England,First degree,Natural sciences (non-specific),CAH07-04-04,82.8,76.4,-6.4
England,First degree,Mathematics,CAH09-01-01,81.6,76.5,-5.1
England,First degree,Operational research,CAH09-01-02,83.2,79.1,-4.1
England,First degree,Statistics,CAH09-01-03,82.8,77,-5.8
England,First degree,Engineering (non-specific),CAH10-01-01,80,70.6,-9.4
England,First degree,Mechanical engineering,CAH10-01-02,77.1,68.2,-8.9
England,First degree,Production and manufacturing engineering,CAH10-01-03,74.6,66.4,-8.2
England,First degree,Aeronautical and aerospace engineering,CAH10-01-04,74,64.2,-9.8
England,First degree,"Bioengineering, medical and biomedical engineering",CAH10-01-06,78.5,71,-7.5
England,First degree,Civil engineering,CAH10-01-07,78,68.9,-9.1
England,First degree,Electrical and electronic engineering,CAH10-01-08,75.9,66.5,-9.4
England,First degree,"Chemical, process and energy engineering",CAH10-01-09,79.2,72.8,-6.4
England,First degree,Others in engineering,CAH10-01-10,91.8,83,-8.8
England,First degree,Materials technology,CAH10-03-02,76,65.1,-10.9
England,First degree,Polymers and textiles,CAH10-03-03,93.6,88.9,-4.7
England,First degree,Maritime technology,CAH10-03-04,80.4,75.1,-5.3
England,First degree,Others in technology,CAH10-03-06,83.2,72.3,-10.9
England,First degree,Computer science,CAH11-01-01,76,67.3,-8.7
England,First degree,Information systems,CAH11-01-03,82.3,73.6,-8.7
England,First degree,Software engineering,CAH11-01-04,76.9,68.7,-8.2
England,First degree,Artificial intelligence,CAH11-01-05,81.2,76.3,-4.9
England,First degree,Computer games and animation,CAH11-01-06,80,69.3,-10.7
England,First degree,Business computing,CAH11-01-07,84.4,77.8,-6.6
England,First degree,Others in computing,CAH11-01-08,76.2,65.7,-10.5
England,First degree,Architecture,CAH13-01-01,80.8,75.9,-4.9
England,First degree,Building,CAH13-01-02,77.8,66.9,-10.9
England,First degree,Landscape design,CAH13-01-03,91.5,83.3,-8.2
England,First degree,"Planning (urban, rural and regional)",CAH13-01-04,79.2,71.3,-7.9
England,First degree,Social sciences (non-specific),CAH15-01-01,85,79,-6
England,First degree,Sociology,CAH15-01-02,77.3,70,-7.3
England,First degree,Social policy,CAH15-01-03,78.5,69.8,-8.7
England,First degree,Anthropology,CAH15-01-04,80.7,74.7,-6
England,First degree,Development studies,CAH15-01-05,80.4,75,-5.4
England,First degree,Economics,CAH15-02-01,78.3,72.4,-5.9
England,First degree,Politics,CAH15-03-01,79.3,73.3,-6
England,First degree,Social work,CAH15-04-01,80.6,72.4,-8.2
England,First degree,Childhood and youth studies,CAH15-04-02,86.3,81.8,-4.5
England,First degree,Health studies,CAH15-04-03,86.9,80.1,-6.8
England,First degree,Law,CAH16-01-01,78.6,70.9,-7.7
England,First degree,Business and management (non-specific),CAH17-01-01,81,73.5,-7.5
England,First degree,Business studies,CAH17-01-02,83.4,77.7,-5.7
England,First degree,Marketing,CAH17-01-03,79.2,70.3,-8.9
England,First degree,Management studies,CAH17-01-04,81.4,75.9,-5.5
England,First degree,Human resource management,CAH17-01-05,81.9,75.8,-6.1
England,First degree,"Tourism, transport and travel",CAH17-01-06,83.9,76.4,-7.5
England,First degree,Finance,CAH17-01-07,84.1,79,-5.1
England,First degree,Accounting,CAH17-01-08,83.8,78.7,-5.1
England,First degree,Others in business and management,CAH17-01-09,81.3,69.5,-11.8
England,First degree,English studies (non-specific),CAH19-01-01,81.7,74.1,-7.6
England,First degree,English language,CAH19-01-02,85.5,80.8,-4.7
England,First degree,Literature in English,CAH19-01-03,85.2,80.5,-4.7
England,First degree,Creative writing,CAH19-01-05,85.9,78.9,-7
England,First degree,Others in English studies,CAH19-01-06,83,71.8,-11.2
England,First degree,Linguistics,CAH19-01-07,82.9,79,-3.9
England,First degree,French studies,CAH19-04-01,83.8,78.4,-5.4
England,First degree,German and Scandinavian studies,CAH19-04-02,82.6,75.3,-7.3
England,First degree,Italian studies,CAH19-04-03,84.5,80.2,-4.3
England,First degree,Iberian studies,CAH19-04-04,80.8,74.3,-6.5
England,First degree,Slavic studies,CAH19-04-05,77,70.4,-6.6
England,First degree,Asian studies,CAH19-04-06,73.2,63.7,-9.5
England,First degree,African and modern Middle Eastern studies,CAH19-04-07,80.1,77.3,-2.8
England,First degree,American and Australasian studies,CAH19-04-08,80.7,74.7,-6
England,First degree,Others in language and area studies,CAH19-04-09,82.4,76.6,-5.8
England,First degree,History,CAH20-01-01,84.3,77.9,-6.4
England,First degree,"History of art, architecture and design",CAH20-01-02,80.1,72.2,-7.9
England,First degree,Archaeology,CAH20-01-03,87,79.7,-7.3
England,First degree,Heritage studies,CAH20-01-04,87.5,77.6,-9.9
England,First degree,Classics,CAH20-01-05,85.5,80.6,-4.9
England,First degree,Philosophy,CAH20-02-01,80.9,75.5,-5.4
England,First degree,Theology and religious studies,CAH20-02-02,87.2,79.8,-7.4
England,First degree,Education,CAH22-01-01,84.7,79.8,-4.9
England,First degree,Teacher training,CAH22-01-02,77.2,68.2,-9
England,First degree,Personal development,CAH23-01-02,80.4,71.1,-9.3
England,First degree,Humanities (non-specific),CAH23-01-03,88.3,85.7,-2.6
England,First degree,Liberal arts (non-specific),CAH23-01-04,79.8,77.2,-2.6
England,First degree,Information services,CAH24-01-01,72.8,61.7,-11.1
England,First degree,Publicity studies,CAH24-01-02,78.5,66.9,-11.6
England,First degree,Publishing,CAH24-01-03,84.9,81.1,-3.8
England,First degree,Journalism,CAH24-01-04,83.6,77.3,-6.3
England,First degree,Media studies,CAH24-01-05,77,68.6,-8.4
England,First degree,Creative arts and design (non-specific),CAH25-01-01,76,67,-9
England,First degree,Art,CAH25-01-02,70,61,-9
England,First degree,Design studies,CAH25-01-03,80.1,70.2,-9.9
England,First degree,Cinematics and photography,CAH25-01-04,73.9,62.6,-11.3
England,First degree,Others in creative arts and design,CAH25-01-05,78.2,68,-10.2
England,First degree,Performing arts (non-specific),CAH25-02-01,74.6,60.8,-13.8
England,First degree,Music,CAH25-02-02,79.1,68.3,-10.8
England,First degree,Drama,CAH25-02-03,78.1,68,-10.1
England,First degree,Dance,CAH25-02-04,82.6,76.7,-5.9
England,First degree,Geography (non-specific),CAH26-01-01,81.3,75.3,-6
England,First degree,Physical geographical sciences,CAH26-01-02,84.2,78.8,-5.4
England,First degree,Human geography,CAH26-01-03,80.8,75,-5.8
England,First degree,Environmental sciences,CAH26-01-04,84.2,80.6,-3.6
England,First degree,Earth sciences,CAH26-01-06,82.4,76.8,-5.6
England,Other undergraduate,Nursing (non-specific),CAH02-04-01,81.3,74,-7.3
England,Other undergraduate,Adult nursing,CAH02-04-02,80.6,70.5,-10.1
England,Other undergraduate,Dental nursing,CAH02-04-06,77.1,67.7,-9.4
England,Other undergraduate,Mental health nursing,CAH02-04-07,78.7,69.9,-8.8
England,Other undergraduate,Others in nursing,CAH02-04-09,86.3,85.8,-0.5
England,Other undergraduate,Healthcare science (non-specific),CAH02-05-02,93.9,90.3,-3.6
England,Other undergraduate,Health sciences (non-specific),CAH02-06-01,90.1,81.9,-8.2
England,Other undergraduate,Ophthalmics,CAH02-06-03,93.2,84,-9.2
England,Other undergraduate,Physiotherapy,CAH02-06-05,83.6,78.6,-5
England,Other undergraduate,Complementary and alternative medicine,CAH02-06-06,73.7,64.8,-8.9
England,Other undergraduate,"Counselling, psychotherapy and occupational therapy",CAH02-06-07,75.2,59.4,-15.8
England,Other undergraduate,Ecology and environmental biology,CAH03-01-03,83.9,79.1,-4.8
England,Other undergraduate,Zoology,CAH03-01-06,88.1,76.3,-11.8
England,Other undergraduate,Hair and beauty sciences,CAH03-01-09,88,81,-7
England,Other undergraduate,Others in biosciences,CAH03-01-10,86.2,76,-10.2
England,Other undergraduate,Sport and exercise sciences,CAH03-02-01,91,85.8,-5.2
England,Other undergraduate,Applied psychology,CAH04-01-02,81.6,75.6,-6
England,Other undergraduate,Others in veterinary sciences,CAH05-01-02,82.9,77.1,-5.8
England,Other undergraduate,Animal science,CAH06-01-01,76.1,62,-14.1
England,Other undergraduate,Agriculture,CAH06-01-03,76.4,63,-13.4
England,Other undergraduate,Rural estate management,CAH06-01-04,92.5,86.6,-5.9
England,Other undergraduate,Food sciences,CAH06-01-07,88.7,85.9,-2.8
England,Other undergraduate,Food and beverage production,CAH06-01-08,89.1,84.3,-4.8
England,Other undergraduate,Chemistry,CAH07-02-01,84.3,83.1,-1.2
England,Other undergraduate,Operational research,CAH09-01-02,100.4,98,-2.4
England,Other undergraduate,Engineering (non-specific),CAH10-01-01,83.3,73.8,-9.5
England,Other undergraduate,Mechanical engineering,CAH10-01-02,72.4,53.5,-18.9
England,Other undergraduate,Aeronautical and aerospace engineering,CAH10-01-04,81.6,75.3,-6.3
England,Other undergraduate,"Bioengineering, medical and biomedical engineering",CAH10-01-06,73.7,71.6,-2.1
England,Other undergraduate,Civil engineering,CAH10-01-07,90.4,86.3,-4.1
England,Other undergraduate,Electrical and electronic engineering,CAH10-01-08,78.3,66.9,-11.4
England,Other undergraduate,Minerals technology,CAH10-03-01,83.7,77.8,-5.9
England,Other undergraduate,Maritime technology,CAH10-03-04,67.5,56.4,-11.1
England,Other undergraduate,Others in technology,CAH10-03-06,84.7,75,-9.7
England,Other undergraduate,Computer science,CAH11-01-01,82.2,71.1,-11.1
England,Other undergraduate,Computer games and animation,CAH11-01-06,90.9,88.6,-2.3
England,Other undergraduate,Building,CAH13-01-02,86.2,81.7,-4.5
England,Other undergraduate,"Planning (urban, rural and regional)",CAH13-01-04,79.9,77.7,-2.2
England,Other undergraduate,Sociology,CAH15-01-02,86.8,77.5,-9.3
England,Other undergraduate,Politics,CAH15-03-01,92.1,87.8,-4.3
England,Other undergraduate,Social work,CAH15-04-01,89.4,83.7,-5.7
England,Other undergraduate,Childhood and youth studies,CAH15-04-02,89.7,82.9,-6.8
England,Other undergraduate,Health studies,CAH15-04-03,88.6,82.5,-6.1
England,Other undergraduate,Business and management (non-specific),CAH17-01-01,93.4,88.2,-5.2
England,Other undergraduate,Business studies,CAH17-01-02,94,88.5,-5.5
England,Other undergraduate,Marketing,CAH17-01-03,74.3,58.2,-16.1
England,Other undergraduate,Management studies,CAH17-01-04,87.4,80.3,-7.1
England,Other undergraduate,"Tourism, transport and travel",CAH17-01-06,93,89.4,-3.6
England,Other undergraduate,Accounting,CAH17-01-08,79.8,64.9,-14.9
England,Other undergraduate,Others in business and management,CAH17-01-09,97.6,94.7,-2.9
England,Other undergraduate,Theology and religious studies,CAH20-02-02,93.4,84.9,-8.5
England,Other undergraduate,Education,CAH22-01-01,92.4,86.7,-5.7
England,Other undergraduate,Teacher training,CAH22-01-02,90.4,83.3,-7.1
England,Other undergraduate,"Combined, general or negotiated studies",CAH23-01-01,90.3,88.4,-1.9
England,Other undergraduate,Media studies,CAH24-01-05,83.1,81,-2.1
England,Other undergraduate,Creative arts and design (non-specific),CAH25-01-01,95.6,89.2,-6.4
England,Other undergraduate,Design studies,CAH25-01-03,88.5,79.6,-8.9
England,Other undergraduate,Cinematics and photography,CAH25-01-04,87.4,81,-6.4
England,Other undergraduate,Others in creative arts and design,CAH25-01-05,81.7,72,-9.7
England,Other undergraduate,Music,CAH25-02-02,84.8,76.1,-8.7
England,Other undergraduate,Drama,CAH25-02-03,86.7,76.8,-9.9
England,Other undergraduate,Dance,CAH25-02-04,91.3,85.9,-5.4
England,Other undergraduate,Environmental sciences,CAH26-01-04,82.9,77.1,-5.8
England,Undergraduate with postgraduate component,Medicine (non-specific),CAH01-01-02,76.1,67.8,-8.3
England,Undergraduate with postgraduate component,Dentistry,CAH01-01-04,74.3,66.6,-7.7
England,Undergraduate with postgraduate component,Pharmacology,CAH02-02-01,80.3,76.2,-4.1
England,Undergraduate with postgraduate component,Pharmacy,CAH02-02-03,81.2,75.9,-5.3
England,Undergraduate with postgraduate component,Nursing (non-specific),CAH02-04-01,54.4,40.9,-13.5
England,Undergraduate with postgraduate component,Adult nursing,CAH02-04-02,61.9,48.4,-13.5
England,Undergraduate with postgraduate component,Children's nursing,CAH02-04-05,56.4,43.1,-13.3
England,Undergraduate with postgraduate component,Mental health nursing,CAH02-04-07,61.4,47.3,-14.1
England,Undergraduate with postgraduate component,Biomedical sciences (non-specific),CAH02-05-03,81,77.7,-3.3
England,Undergraduate with postgraduate component,"Anatomy, physiology and pathology",CAH02-05-04,84.7,82.4,-2.3
England,Undergraduate with postgraduate component,Health sciences (non-specific),CAH02-06-01,81.3,70,-11.3
England,Undergraduate with postgraduate component,Nutrition and dietetics,CAH02-06-02,72.9,67.5,-5.4
England,Undergraduate with postgraduate component,Ophthalmics,CAH02-06-03,63.5,53.9,-9.6
England,Undergraduate with postgraduate component,Physiotherapy,CAH02-06-05,78.2,64.1,-14.1
England,Undergraduate with postgraduate component,Complementary and alternative medicine,CAH02-06-06,70.3,62.6,-7.7
